SegmentInL1	SegmentInL2
ANTIGONE	ANTIGONE
Je ne sais plus pourquoi je meurs.	I don't know any more why I'm dying.
LE GARDE	THE GUARD
écrit, suçant sa mine.	writes, sucking his pencil.
« Je ne sais plus pourquoi je meurs... » On ne sait jamais pourquoi on meurt.	"""I don't know anymore why I'm dying..."" You never know why you die."
ANTIGONE,	ANTIGONE,
continue.	continues.
J'ai peur...	I'm scared...
(Elle s'arrête. Elle se dresse soudain.)	(She stops and sits up suddenly.)
Non. Raye tout cela. Il vaut mieux que jamais personne ne le sache. C'est comme s'ils devaient me voir nue et me toucher quand je serais morte. Mets seulement : « Pardon. »	"No. Cross all that out. It's better that no one ever knows. It's like they could see me naked and touch me when I was dead. Just write ""Forgive me."""
LE GARDE	THE GUARD
Alors, je raye la fin et je mets pardon à la place ?	So I cross out the ending and write forgive me instead?
ANTIGONE	ANTIGONE
Oui. Pardon, mon chéri. Sans la petite Antigone, vous auriez tous été bien tranquilles. Je t'aime...	Yes. Forgive me, my darling. Without little Antigone, you would all have been fine. I love you...
LE GARDE	THE GUARD
« Sans la petite Antigone, vous auriez tous été bien tranquilles. Je t'aime... » C'est tout ?	"""Without little Antigone, you would all have been fine. I love you..."" That's it?"
ANTIGONE	ANTIGONE
Oui, c'est tout.	Yes, that's it.
LE GARDE	THE GUARD
C'est une drôle de lettre.	Weird letter.
ANTIGONE	ANTIGONE
Oui, c'est une drôle de lettre.	Yes, it's a weird letter.
LE GARDE	THE GUARD
Et c'est à qui qu'elle est adressée ?	And who's it to?
A ce moment, la porte s'ouvre.	At this moment, the door opens.
Les autres gardes paraissent.	The other guards appear.
Antigone se lève, les regarde, regarde le premier garde qui s'est dressé derrière elle ; il empoche la bague et range le carnet, l'air important...	Antigone rises, looks at them, looks at the first guard who has got up behind her. He pockets the ring and puts away his pad with an important air.
Il voit le regard d'Antigone.	He sees Antigone looking at him.
Il gueule pour se donner une contenance.	He yells to cover his confusion.
LE GARDE	THE GUARD
Allez ! Pas d'histoires !	Come on! Move it! No funny business!
Antigone a un pauvre sourire.	Antigone has a poor smile.
Elle baisse la tête.	She lowers her head.
Elle s'en va sans un mot vers les autres gardes.	She leaves without a word to the other guards.
Ils sortent tous.	Exeunt omnes.
TABLEAU XVII : LE CHŒUR, LE MESSAGER	SCENE XVII: THE CHORUS, THE MESSENGER
LE CHŒUR,	THE CHORUS,
entre soudain.	enters suddenly
Là ! C'est fini pour Antigone. Maintenant, le tour de Créon approche. Il va falloir qu'ils y passent tous.	There! It's all over for Antigone. Now, Creon's turn approaches. It has to come to all of them in the end.
LE MESSAGER	THE MESSENGER
fait irruption, criant.	bursts in, crying.
La reine ? où est la reine ?	The queen? Where is the queen?
LE CHŒUR	THE CHORUS
Que lui veux-tu ? Qu'as-tu à lui apprendre ?	What do you want with her? What do you have to tell her?
LE MESSAGER	THE MESSENGER
Une terrible nouvelle. On venait de jeter Antigone dans son trou. On n'avait pas encore fini de rouler les derniers blocs de pierre lorsque Créon et tous ceux qui l'entourent entendent des plaintes qui sortent soudain du tombeau. Chacun se tait et écoute, car ce n'est pas la voix d'Antigone. C'est une plainte nouvelle qui sort des profondeurs du trou...	Fearful news. They had finished putting Antigone into her cave. They had not quite finished rolling the last blocks of stone into place when Creon and those around him hear groans suddenly coming from the tomb. Everyone stops talking and listens, because it is not Antigone's voice. It is a new sound coming from the depths of the cave...
Tous regardent Créon, et lui, qui a deviné le premier, lui qui sait déjà avant tous les autres, hurle soudain comme un fou : « Enlevez les pierres ! Enlevez les pierres ! » Les esclaves se jettent sur les blocs entassés et, parmi eux, le roi suant, dont les mains saignent. Les pierres bougent enfin et le plus mince se glisse dans l'ouverture.	"Everyone looks at Creon. And he understands first, before any of the others have guessed, and he shouts suddenly like a madman, ""Remove the stones! Remove the stones!"" The slaves cast themselves on the heaped blocks, and among them the king, covered in sweat, his hands bleeding. The stones finally move, and the smallest onlooker can just slide into the opening."
Antigone est au fond de la tombe pendue aux fils de sa ceinture, des fils bleus, des fils verts, des fils rouges qui lui font comme un collier d'enfant, et Hémon à genoux qui la tient dans ses bras et gémit, le visage enfoui dans sa robe. On bouge un bloc encore et Créon peut enfin descendre. On voit ses cheveux blancs dans l'ombre, au fond du trou. Il essaie de relever Hémon, il le supplie.	Antigone is at the far end of the tomb. She has hanged herself with her belt of blue and green and red cords, which looks like a child's necklace on her, and Haemon, kneeling, holds her in his arms and groans, his face buried in her gown. They move away another block and Creon can finally enter. You see his white hair in the shadows in the depths of the cave. He tries to raise up Haemon, he begs him.
Hémon ne l'entend pas. Puis soudain il se dresse, les yeux noirs, et il n'a jamais tant ressemblé au petit garçon d'autrefois, il regarde son père sans rien dire, une minute, et, tout à coup, il lui crache au visage, et tire son épée. Créon a bondi hors de portée.	Haemon does not hear him. And then suddenly he stands up, his eyes black, and he has never looked so much like the little boy he once was. He stares at his father without saying a word, for a whole minute, and then suddenly, he spits in his face and draws his sword. Creon jumps back out of reach.
Alors Hémon le regarde avec ses yeux d'enfant, lourds de mépris, et Créon ne peut pas éviter ce regard comme la lame. Hémon regarde ce vieil homme tremblant à l'autre bout de la caverne, et, sans rien dire, il se plonge l'épée dans le ventre et il s'étend contre Antigone, l'embrassant dans une immense flaque rouge.	But Haemon looks at him with his child's eyes, heavy with contempt, and Creon cannot avoid his gaze that cuts him like a knife. Haemon stares at the old man trembling at the other end of the cavern and then, without saying anything, he plunges the sword into his stomach and stretches himself out beside Antigone, kissing her in the middle of a huge pool of blood.
TABLEAU XVIII : LE CHŒUR, CREON, LE PAGE	SCENE XVIII: THE CHORUS, CREON, THE PAGE
CREON,	CREON,
entre avec son page.	enters with his page.
Je les ai fait coucher l'un près de l'autre, enfin ! Ils sont lavés, maintenant, reposés. Ils sont seulement un peu pâles, mais si calmes. Deux amants au lendemain de la première nuit. Ils ont fini, eux.	I have lain them down to sleep next to each other, finally! They are washed now and rested. They just look a little pale, but so calm. Two lovers on the morning after their first night. It is over for them.
LE CHŒUR	THE CHORUS
Pas toi, Créon. Il te reste encore quelque chose à apprendre. Eurydice, la reine, ta femme...	Not for you, Creon. There is still another thing to come. Eurydice, the queen, your wife...
CREON	CREON
Une bonne femme parlant toujours de son jardin, de ses confitures, de ses tricots, de ses éternels tricots pour les pauvres. C'est drôle comme les pauvres ont éternellement besoin de tricots. On dirait qu'ils n'ont besoin que de tricots...	A good woman always talking about her garden, her preserves, her knitting, that knitting she's always doing for the poor. It's amazing how the poor always need knitting. You'd think they needed nothing else...
LE CHŒUR	THE CHORUS
Les pauvres de Thèbes auront froid, cet hiver, Créon. En apprenant la mort de son fils, la reine a posé ses aiguilles, sagement, après avoir terminé son rang, posément, comme tout ce qu'elle fait, un peu plus tranquillement peut-être que d'habitude.	The poor of Thebes will be cold this winter, Creon. When she learned of her son's death, the queen put down her needles, calmly and sensibly, after she'd finished her row, just as she'd always done, perhaps a little more calmly than usual.
Et puis elle est passée dans sa chambre, sa chambre à l'odeur de lavande, aux petits napperons brodés et aux cadres de peluche, pour s'y couper la gorge, Créon. Elle est étendue maintenant sur un des petits lits jumeaux démodés, à la même place où tu l'as vue jeune fille un soir, et avec le même sourire, à peine un peu plus triste. Et s'il n'y avait pas cette large tache rouge sur les linges autour de son cou, on pourrait croire qu'elle dort.	And then she went into her bedroom, her bedroom that smelled of lavender, with little embroidered doilies and plush frames, and there she cut her throat, Creon. She is stretched out now on one of the little old-fashioned twin beds, in the same place where you first saw her when she was still a girl, and with the same smile, just a little sadder. And if there weren't that large red stain on the sheets around her neck, you'd think she was asleep.
CREON	CREON
Elle aussi. Ils dorment tous. C'est bien. La journée a été rude.	Her too. They're all asleep. It's good. This has been a terrible day.
(Un temps. Il dit sourdement)	(A pause. He says dully)
Cela doit être bon de dormir.	It must be good to sleep.
LE CHŒUR	THE CHORUS
Et tu es tout seul maintenant, Créon.	And now you're all alone, Creon.
CREON	CREON
Tout seul, oui.	All alone, yes.
(Un silence. Il pose sa main sur l'épaule de son page.)	(A silence. He put his hand on the page's shoulder.)
Petit...	Kid...
LE PAGE	THE PAGE
Monsieur ?	Sir?
CREON	CREON
Je vais te dire, à toi. Ils ne savent pas, les autres ; on est là, devant l'ouvrage, on ne peut pourtant pas se croiser les bras. Ils disent que c'est une sale besogne, mais si on ne la fait pas, qui la fera ?	I'm going to tell you, just you. The others don't understand. You're there, the work's in front of you, you can't just fold your arms and do nothing. They say it's a dirty business, but if you didn't do it, who would?
LE PAGE	THE PAGE
Je ne sais pas, monsieur.	I don't know, sir.
CREON	CREON
Bien sûr, tu ne sais pas. Tu en as de la chance ! Ce qu'il faudrait, c'est ne jamais savoir. Il te tarde d'être grand, toi ?	Of course you don't know. You're lucky. Try to make sure you never know. I suppose you're eager to grow up?
LE PAGE	THE PAGE
Oh oui, monsieur !	Oh yes sir!
CREON	CREON
Tu es fou, petit. Il faudrait ne jamais devenir grand.	You're out of your mind, kid. You should never grow up.
(L'heure sonne au loin, il murmure.)	(The hour strikes in the distance, he murmurs.)
Cinq heures. Qu'est-ce que nous avons aujourd'hui, à cinq heures ?	Five o'clock. What's on the schedule today, for five o'clock?
LE PAGE	THE PAGE
Conseil, monsieur.	Council, sir.
CREON	CREON
Eh bien, si nous avons conseil, petit, nous allons y aller.	Well kid, if it's council, then that's where we're going.
Ils sortent, Créon s'appuyant sur le page.	They leave, Creon supporting himself on the page.
LE CHŒUR,	THE CHORUS,
s'avance.	moves forward.
Et voilà. Sans la petite Antigone, c'est vrai, ils auraient tous été bien tranquilles.	And there you are. Without little Antigone, it's true, they would all have been fine.
Mais maintenant, c'est fini. Ils sont tout de même tranquilles. Tous ceux qui avaient à mourir sont morts. Ceux qui croyaient une chose, et puis ceux qui croyaient le contraire, même ceux qui ne croyaient rien et qui se sont trouvés pris dans l'histoire sans y rien comprendre. Morts pareils, tous, bien raides, bien inutiles, bien pourris.	But now, it's over. And they are fine all the same. All the people who were going to die are dead. Those who believed one thing, and those who believed the opposite, and even the ones who didn't believe anything and just found themselves caught up in the story without any idea of what was happening. All equally dead, all of them, stiff and useless and starting to rot.
Et ceux qui vivent encore vont commencer tout doucement à les oublier et à confondre leurs noms. C'est fini.	And those who are still alive will quietly start to forget them and mix up their names. It's over.
Antigone est calmée, maintenant, nous ne saurons jamais de quelle fièvre. Son devoir lui est remis. Un grand apaisement triste tombe sur Thèbes et sur le palais vide où Créon va commencer à attendre la mort.	Antigone is calm now, and we will never know the name of her sickness. She has done what she had to do. A great sad peace falls over Thebes and over the empty palace where Creon is going to start waiting to die.
Pendant qu'il parlait, les gardes sont entrés.	While he's been talking, the guards have come in.
Ils se sont installés sur un banc, leur litre de rouge à côté d'eux, leur chapeau sur la nuque, et ils ont commencé une partie de cartes.	They've sat down on a bench, they've got a bottle of wine with them, they've pushed back their caps and they've started a card game.
LE CHŒUR	THE CHORUS
Il ne reste plus que les gardes.	There's only the guards left.
Eux, tout ça, cela leur est égal ; c'est pas leurs oignons.	They're not bothered by any of this: nothing to do with them.
Ils continuent à jouer aux cartes...	They carry on playing cards...
Le rideau tombe rapidement pendant que les gardes abattent leurs atouts.	The curtain falls quickly as the guards slap down their aces.
